PrimaryKey,RunID,StockID,Age,TimeStep,Cohort,MatureCohort,StartCohort,WorkingCohort,MidCohort,Shelton.TimeStep,Year.run,Season.run,Year.Season.run,Species,StockVersion,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName
3409035,31,1,2,2,98215.0185,0,107435.9192,98669.14817,98215.0185,1,1991,.Spr,1991.Spr,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409036,31,1,2,3,82950.76238,1948.175938,98215.0185,86439.03778,84898.93832,2,1991,.Sum,1991.Sum,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409037,31,1,2,4,106333.4638,0,145805.819,108231.6594,106333.4638,3,1991,.Fall,1991.Fall,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409039,31,1,3,2,60356.12928,0,66961.30812,63097.64064,60356.12928,1,1991,.Spr,1991.Spr,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409040,31,1,3,3,23329.86156,25534.83199,60356.12928,55207.75146,48864.69356,2,1991,.Sum,1991.Sum,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409041,31,1,3,4,64241.44396,0,82950.76238,67372.60921,64241.44396,3,1991,.Fall,1991.Fall,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409043,31,1,4,2,16704.15587,0,18953.4365,18261.63607,16704.15587,1,1991,.Spr,1991.Spr,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409044,31,1,4,3,124.906672,13198.47169,16704.15587,15797.12021,13323.37836,2,1991,.Sum,1991.Sum,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409045,31,1,4,4,17026.2993,0,23329.86156,20481.28547,17026.2993,3,1991,.Fall,1991.Fall,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409047,31,1,5,2,781.741898,0,853.926939,839.06861,781.741898,1,1991,.Spr,1991.Spr,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409048,31,1,5,3,0,722.937953,781.741898,761.416609,722.937953,2,1991,.Sum,1991.Sum,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409049,31,1,5,4,116.396318,0,124.906672,117.462234,116.396318,3,1991,.Fall,1991.Fall,CHINOOK,5,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall
3409051,31,2,2,2,3515.376814,0,3845.417382,3531.631324,3515.376814,1,1991,.Spr,1991.Spr,CHINOOK,5,1,2,M-NkSm FF,Marked Nooksack/Samish Fall
3409052,31,2,2,3,2969.028477,69.7304,3515.376814,3093.883134,3038.758877,2,1991,.Sum,1991.Sum,CHINOOK,5,1,2,M-NkSm FF,Marked Nooksack/Samish Fall
